Model Name,Features,Num Features,MSE,RMSE,MAE,R-squared,Adjusted R-squared
1 Feature (R&D),R&D Spend,1,59510962.80787996,7714.334890830185,6077.363300620399,0.9265108109341951,0.9173246623009694
2 Features (R&D + Marketing),"R&D Spend, Marketing Spend",2,67343832.58979604,8206.32881316585,6469.181721468586,0.9168381183550247,0.8930775807421746
3 Features (R&D + Marketing + NY),"R&D Spend, Marketing Spend, New York",3,67943465.806645,8242.78264948464,6430.578356776363,0.9160976403529226,0.8741464605293839
4 Features (R&D + Marketing + NY + FL),"R&D Spend, Marketing Spend, New York, Florida",4,68139850.68899487,8254.68658938635,6454.510107276785,0.9158551276280779,0.8485392297305401
5 Features (R&D + Marketing + NY + FL + Admin),"R&D Spend, Marketing Spend, New York, Florida, Administration",5,82010363.04430135,9055.957323458484,6961.477813252393,0.8987266414328633,0.7721349432239424
